,description,size,kolmogorov_smirnoff_confidence_score_statistic,kolmogorov_smirnoff_malignancy_score_statistic,kolmogorov_smirnoff_outlier_score_statistic,mean_area,mean_compactness,mean_concave_points,mean_concavity,mean_fractal_dimension,mean_perimeter,mean_radius,mean_smoothness,mean_symmetry,mean_texture,worst_area,worst_compactness,worst_concave_points,worst_concavity,worst_fractal_dimension,worst_perimeter,worst_radius,worst_smoothness,worst_symmetry,worst_texture
715,mean_concave_points:q20-40  worst_symmetry:q00-20,28,-0.10615262740955901,0.47689463955637706,0.47689463955637706,,,q20-40,,,,,,,,,,,,,,,,q00-20,
716,mean_concave_points:q20-40  worst_symmetry:q60-80,26,-0.20696982575435613,0.4389431930868395,0.4389431930868395,,,q20-40,,,,,,,,,,,,,,,,q60-80,
717,mean_concave_points:q20-40  worst_symmetry:q20-40,27,-0.11753450867842012,0.46480798141314744,0.46480798141314744,,,q20-40,,,,,,,,,,,,,,,,q20-40,
718,mean_concave_points:q00-20  worst_symmetry:q40-60,29,-0.2687739463601533,0.5462962962962963,0.5462962962962963,,,q00-20,,,,,,,,,,,,,,,,q40-60,
719,mean_concave_points:q00-20  worst_symmetry:q00-20,36,-0.2941421721909527,0.5440900562851783,0.5440900562851783,,,q00-20,,,,,,,,,,,,,,,,q00-20,
720,mean_concave_points:q00-20  worst_symmetry:q20-40,25,-0.2798529411764706,0.5372058823529412,0.5372058823529412,,,q00-20,,,,,,,,,,,,,,,,q20-40,
721,mean_concave_points:q80-100  worst_texture:q40-60,22,-0.28303141100216056,-0.749792255276716,-0.749792255276716,,,q80-100,,,,,,,,,,,,,,,,,q40-60
722,mean_concave_points:q80-100  worst_texture:q60-80,33,-0.33695160560832205,-0.7630597014925373,-0.7630597014925373,,,q80-100,,,,,,,,,,,,,,,,,q60-80
723,mean_concave_points:q80-100  worst_texture:q80-100,40,-0.39064272211720225,-0.7647448015122873,-0.7647448015122873,,,q80-100,,,,,,,,,,,,,,,,,q80-100
724,mean_concave_points:q60-80  worst_texture:q40-60,27,0.35670356703567035,-0.522140221402214,-0.522140221402214,,,q60-80,,,,,,,,,,,,,,,,,q40-60
725,mean_concave_points:q60-80  worst_texture:q60-80,31,0.32905624175560616,-0.5792660990526443,-0.5792660990526443,,,q60-80,,,,,,,,,,,,,,,,,q60-80
